car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
TBC3,BLK 3A TELOK BLANGAH CRESCENT,1.2790442396857162,103.8175781692424,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N
TBK,BLK 84 TELOK BLANGAH HTS,1.2773607628817014,103.81004715071302,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.00,N
TBM,BLK 48A TELOK BLANGAH DRIVE,1.2717912859952163,103.81066870217602,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,1.80,N
TBMT,BLK 80 TELOK BLANGAH ST 31,1.273796254050209,103.80690132190573,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,5,2.15,N
TBM2,BLK 73A TELOK BLANGAH STREET 32,1.2753043651293554,103.8092233201548,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N
TBM3,BLK 78A TELOK BLANGAH STREET 32,1.273374335911291,103.80897284613816,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N
TBM4,BLK 88A TELOK BLANGAH HEIGHTS,1.277296860355097,103.80776708675596,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
TBM5,BLK 57A TELOK BLANGAH HEIGHTS,1.27499850707926,103.81175153966541,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
TBM6,BLK 52A TELOK BLANGAH DR,1.2733330014606468,103.81111137475285,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
TBM7,BLK 70 TELOK BLANGAH HEIGHTS,1.276266120348283,103.81083577381348,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
TBM8,BLK 90 TELOK BLANGAH STREET 31,1.2772069380595044,103.80728086504851,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,11,2.15,N
TBM9,BLK 93 TELOK BLANGAH STREET 31,1.2747841174077592,103.80719141319861,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N
TB1,BLK 1/2/3/4/6 TELOK BLANGAH CRES,1.2784436505669505,103.81857405338053,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.50,N
TB10,BLK 38/40 TELOK BLANGAH RISE,1.2724063895047217,103.82320738795562,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
TB11,BLK 42/43 TELOK BLANGAH RISE,1.270612626227367,103.82353547243773,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.80,N
TB14,BLK 113/114 DEPOT ROAD,1.2818252116961109,103.80734533801913,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
TB17,BLK 50/71 TELOK BLANGAH DRIVE,1.2748148572261437,103.81301980698036,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
TB18,BLK 72/74/84 TELOK BLANGAH DRIVE,1.2765122720178512,103.80981167433998,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.50,N
TB19,BLK 75/76 TELOK BLANGAH DRIVE,1.274664691194812,103.80871041296764,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
TB2,BLK 8-10 TELOK BLANGAH CRES,1.2776056911548443,103.81934329580679,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.00,N
TB22,BLK 79/80/81 TELOK BLANGAH DRIVE,1.2739113685398986,103.8075810262179,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
TB23,DEPOT ROAD LORRY PARK,1.2813421691042253,103.81521890869696,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
TB27,BLK 4001-4008 DEPOT LANE,1.281923741534188,103.81171659158566,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
TB28,BLK 45 TELOK BLANGAH DRIVE,1.2720250401511513,103.80911204099417,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.00,N
TB29,BLK 45 & 79 ALONG TELOK BLANGAH DRIVE,1.273135617253313,103.80698427155059,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.00,N
TB3,BLK 12/22 TELOK BLANGAH CRES,1.2768391828598684,103.81946766823727,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.00,N
TB4A,BLK 18 & 19 TELOK BLANGAH CRESCENT,1.2776343854674193,103.82244022525481,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,4.50,N
TB6,BLK 27/33 TELOK BLANGAH WAY,1.273950797221028,103.82215128778147,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
TB7,BLK 29/32 TELOK BLANGAH RISE,1.2734514848822975,103.82139918679454,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.80,N
TB8,BLK 30/31 TELOK BLANGAH RISE,1.2726440475687413,103.8207548525513,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.80,N
TB9,BLK 32/35 TELOK BLANGAH RISE,1.2732889977607433,103.82223343925568,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
TE1,BLK 115-117 JALAN BUKIT MERAH,1.2813137150572245,103.82645402589348,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
TE13,BLK 78/80 MOH GUAN TERRACE/CHAY YAN STREET,1.2832266599714872,103.8305745567538,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
TE14,BLK 140/142 JALAN BUKIT MERAH,1.2769805823717464,103.8288546648749,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N
TE2,BLK 105-107 JALAN BUKIT MERAH,1.2799822967820151,103.82507997347741,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
TE21,BLK 76 GUAN CHUAN STREET,1.2829905284723673,103.83158438729436,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.00,N
TE22,BLK 66/73 ENG WATT STREET,1.2834306517182195,103.83258282577629,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.00,N
TE23,BLK 59 ENG HOON STREET,1.284259060034816,103.83352601524145,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.00,N
TE24,KIM PONG ROAD,1.284345023306976,103.8301091615078,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
TE25,BLK 17/31/141/150 KAMPONG BAHRU ROAD,1.2773716640930206,103.83078772296444,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N
TE26,KERBSIDE TIONG BAHRU EST,1.2852865683978052,103.83085215573334,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.00,N
TE27,"BLK 77, 72, 71 & 58 SENG POH ROAD",1.2836658946065338,103.83155028187889,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.00,N
TE28,BLK 81 TIONG POH ROAD/KENG KIAT STREET,1.282621209858605,103.83264485484881,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
TE29,BLK 79 PENG NGUAN STREET/CHAY YAN STREET,1.282092749833308,103.83131204800414,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.00,N
TE3,BLK 108/110/112 JALAN BUKIT MERAH,1.2797413916490008,103.82614156083444,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N
TE30,BLK 78 & 79 YONG SIAK STREET/MOH GUAN TERRACE,1.2828840851961143,103.83019652469054,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.00,N
TE4,BLK 132-138 JALAN BUKIT MERAH,1.278369639755713,103.82784357064978,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
TE9,BLK 61/69 SENG POH LANE,1.2838768066709831,103.83297237300445,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,2.40,N
TGML,BLK 64 AND 65 TEBAN GARDENS RD,1.3217496873149595,103.73934148022144,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.00,N
TGM1,BLK 63A TEBAN GARDENS RD,1.3211726817146188,103.73891401431447,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
TGM2,BLK 61 TEBAN GARDENS RD,1.3221450186133503,103.73829445496823,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.10,N
TGM3,BLK 22A TEBAN GARDENS RD,1.323261328455708,103.73932836739344,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,3,2.15,N
TGM4,BLK 57A TEBAN GARDENS RD,1.322522221646896,103.73725175304094,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N
TG1,BLK 24 & 25 TEBAN GARDENS,1.323312992864623,103.7376345093954,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
TG2,BLK 49 TO 54 TEBAN GARDENS,1.321574296948077,103.73760190016449,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.80,N
TG3,BLK 30/31/46/48 TEBAN GARDENS,1.320634993058801,103.73897739773975,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.39,N
TG6,"BLK 32, 39/41 TEBAN GARDENS",1.3218251384145,103.7410926969463,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.80,N
TG7,BLK 33/38/43/45 TEBAN GARDENS,1.3201453629777007,103.74229100005539,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.50,N
THM,BLK 37B COMMONWEALTH DRIVE,1.2982031224521255,103.79789417922315,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
TJ1K,ALONG YUNG SHENG ROAD,1.334210647837335,103.72152435155093,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.00,N
TJ18,BLK 63-66 YUNG KUANG ROAD,1.3318481945093785,103.72246220687335,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
TJ27,BLK 151/154 YUNG HO ROAD,1.3270085315102353,103.72110078796581,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
TJ28,BLK 364 YUNG AN ROAD,1.3371197566812667,103.72045887880465,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,1.90,N
TJ29,BLK 155A YUNG LOH ROAD,1.3281427792350164,103.72230234256993,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.00,N
TJ30,BLK 163A YUNG PING ROAD,1.330101423802957,103.72223918558431,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.00,N
TJ31,BLK 331A KANG CHING ROAD,1.3385945699313218,103.72287016767315,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N
TJ32,BLK 346A KANG CHING ROAD,1.3400495011789706,103.72018296672009,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.00,N
